City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Coxim,BR,-18.5067,-54.76,93.36,48,65,2.48,broken clouds
180,Kondinskoye,RU,59.6481,67.41,22.1,87,100,13.13,overcast clouds
181,Antofagasta,CL,-23.65,-70.4,70.21,56,4,9.04,clear sky
182,Marsabit,KE,2.3284,37.9899,72.79,54,66,13.6,broken clouds
183,Lompoc,US,34.6391,-120.4579,54.25,98,90,4.61,mist
184,Aklavik,CA,68.2191,-135.0107,-29.7,87,17,5.06,few clouds
185,Tual,ID,-5.6667,132.75,83.08,71,100,1.99,overcast clouds
186,Okha,RU,53.5739,142.9478,7.72,85,30,12.84,scattered clouds
187,Coffs Harbour,AU,-30.3,153.1333,68.13,96,3,0.0,clear sky
188,Deputatskiy,RU,69.3,139.9,-26.05,92,100,5.68,overcast clouds
189,Tautira,PF,-17.7333,-149.15,75.22,74,51,18.57,broken clouds
190,Coquimbo,CL,-29.9533,-71.3436,64.49,69,1,6.76,clear sky
191,Tonantins,BR,-2.8731,-67.8022,81.75,85,97,2.64,overcast clouds
192,Aksay,RU,47.26,39.87,48.42,77,70,11.99,broken clouds
193,Sur,OM,22.5667,59.5289,74.5,56,0,3.87,clear sky
194,Dombarovskiy,RU,50.7587,59.5386,26.82,87,61,14.63,broken clouds
195,Karratha,AU,-20.7377,116.8463,85.42,50,6,14.92,clear sky
196,Halifax,CA,44.6453,-63.5724,45.34,79,75,14.0,broken clouds
197,Khorixas,NA,-20.3667,14.9667,81.09,25,41,21.16,scattered clouds
198,Iqaluit,CA,63.7506,-68.5145,5.63,94,25,4.92,scattered clouds
199,Sharjah,AE,25.3573,55.4033,80.58,61,0,9.22,clear sky
200,Lewisporte,CA,49.2499,-55.0482,54.14,85,100,20.31,overcast clouds
201,Biak,ID,-0.9131,122.8766,76.75,84,87,1.97,moderate rain
202,Darhan,MN,49.4867,105.9228,14.02,86,9,5.91,clear sky
203,Bengkulu,ID,-3.8004,102.2655,78.49,86,100,4.07,moderate rain
204,Necochea,AR,-38.5473,-58.7368,59.04,82,100,11.52,light rain
205,Ugoofaaru,MV,5.6667,73.0,83.03,73,6,3.36,clear sky
206,Chegdomyn,RU,51.1167,133.0167,-16.24,100,59,0.81,broken clouds
207,Kieta,PG,-6.2167,155.6333,78.67,82,84,1.86,broken clouds
208,Ojinaga,MX,29.5667,-104.4167,67.57,59,1,3.44,clear sky
209,Hervey Bay,AU,-25.2986,152.8535,73.04,93,10,1.01,clear sky
210,Saly,HU,47.95,20.6667,35.19,88,75,4.27,broken clouds
211,Broome,US,42.2506,-75.833,37.71,70,90,5.99,overcast clouds
212,Totoro,CO,2.512,-76.4012,62.44,69,93,1.72,overcast clouds
213,Cairns,AU,-16.9167,145.7667,78.75,85,99,10.36,overcast clouds
214,Naze,JP,28.3667,129.4833,58.89,57,95,14.83,overcast clouds
215,Tacuarembo,UY,-31.7333,-55.9833,81.39,35,0,10.2,clear sky
216,San Patricio,US,28.017,-97.5169,74.84,74,86,8.55,overcast clouds
217,Flin Flon,CA,54.7682,-101.865,12.06,91,100,9.8,light snow
218,Kendari,ID,-3.945,122.4989,76.26,92,99,3.29,overcast clouds
219,Klaksvik,FO,62.2266,-6.589,36.52,66,81,9.53,broken clouds
220,Pandrup,DK,57.2215,9.6757,33.89,100,90,8.05,light snow
221,Ostrovnoy,RU,68.0531,39.5131,22.46,64,100,13.18,overcast clouds
222,Antalaha,MG,-14.9003,50.2788,77.68,84,1,10.51,light rain
223,Comodoro Rivadavia,AR,-45.8667,-67.5,65.25,39,0,10.31,clear sky
224,Itoman,JP,26.1247,127.6694,64.42,48,40,11.5,scattered clouds
225,Lulea,SE,65.5842,22.1547,15.87,92,90,6.91,light snow
226,Gayny,RU,60.3071,54.3241,8.78,97,91,4.65,overcast clouds
227,Touros,BR,-5.1989,-35.4608,86.58,63,98,13.85,overcast clouds
228,Rawson,AR,-43.3002,-65.1023,67.06,37,8,10.87,clear sky
229,Islamkot,PK,24.6997,70.177,72.43,29,0,10.02,clear sky
230,Port Moresby,PG,-9.4431,147.1797,77.49,87,100,2.93,overcast clouds
231,Provideniya,RU,64.3833,-173.3,30.49,98,100,9.89,snow
232,Diego De Almagro,CL,-26.3667,-70.05,80.29,15,69,10.45,broken clouds
233,New Cumnock,GB,55.3956,-4.1846,44.42,95,75,5.03,broken clouds
234,Emba,KZ,48.8264,58.1442,28.72,87,38,8.52,scattered clouds
235,Russell,US,32.3502,-85.1999,67.98,76,73,4.23,broken clouds
236,Namibe,AO,-15.1961,12.1522,75.72,64,6,13.71,clear sky
237,Miri,MY,4.4148,114.0089,77.38,93,100,9.26,light rain
238,Jumla,NP,29.2747,82.1838,43.81,89,71,4.07,broken clouds
239,Mandera,KE,3.9366,41.867,90.63,33,78,0.47,broken clouds
240,Khilok,RU,51.3674,110.4676,16.86,78,15,4.43,few clouds
241,Dunedin,NZ,-45.8742,170.5036,57.7,98,53,5.26,broken clouds
242,Chifeng,CN,42.2683,118.9636,28.54,56,0,5.17,clear sky
243,Hamilton,US,39.1834,-84.5333,53.74,60,4,1.99,clear sky
244,Radhanpur,IN,23.8333,71.6,72.16,48,0,7.56,clear sky
245,Aykhal,RU,66.0,111.5,-12.48,100,100,7.67,overcast clouds
246,Manica,FR,49.0,-1.1667,47.61,98,100,13.71,light rain
247,Mizdah,LY,31.4451,12.9801,55.36,38,92,16.96,overcast clouds
248,Pisco,PE,-13.7,-76.2167,70.02,82,67,8.39,broken clouds
249,Dalbandin,PK,28.8947,64.4101,64.92,34,0,12.48,clear sky
250,Jalu,LY,29.0331,21.5482,67.05,28,100,11.21,overcast clouds
251,Port Lincoln,AU,-34.7333,135.8667,55.11,76,47,11.52,scattered clouds
252,Sibolga,ID,1.7427,98.7792,77.11,89,100,3.38,overcast clouds
253,Nikolskoye,RU,59.7035,30.7861,23.02,95,100,8.39,light snow
254,Kruisfontein,ZA,-34.0033,24.7314,64.89,62,77,8.63,broken clouds
255,Rock Springs,US,41.5875,-109.2029,38.64,70,1,12.66,clear sky
256,Sheridan,US,44.8333,-106.9173,46.65,75,1,0.0,clear sky
257,Oksfjord,NO,70.2396,22.3479,26.78,92,49,10.63,scattered clouds
258,Tukrah,LY,32.5341,20.5791,65.03,43,100,20.71,overcast clouds
259,Cabo San Lucas,MX,22.8909,-109.9124,82.15,72,100,3.4,overcast clouds
260,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,34,9.78,scattered clouds
261,Ponta Do Sol,PT,32.6667,-17.1,70.12,56,65,8.97,broken clouds
262,Gizo,SB,-8.103,156.8419,82.08,74,94,6.53,overcast clouds
263,Kismayo,SO,-0.3582,42.5454,81.43,73,89,11.27,overcast clouds
264,Ishigaki,JP,24.3448,124.1572,66.63,55,11,22.59,few clouds
265,Banda Aceh,ID,5.5577,95.3222,77.56,89,100,11.77,moderate rain
266,Nalgonda,IN,17.05,79.2667,72.54,70,99,6.33,overcast clouds
267,Rossland,CA,49.0831,-117.8022,23.72,88,90,3.36,overcast clouds
268,Pontes E Lacerda,BR,-15.2261,-59.3353,89.76,56,79,5.79,broken clouds
269,Jacareacanga,BR,-6.2222,-57.7528,87.21,63,95,1.86,overcast clouds
270,Bowral,AU,-34.4667,150.4167,57.13,99,100,2.77,overcast clouds
271,Henties Bay,NA,-22.116,14.2845,66.85,77,11,11.45,few clouds
272,Ghanzi,BW,-21.5667,21.7833,88.79,29,51,12.15,broken clouds
273,Charters Towers,AU,-20.1,146.2667,77.2,75,33,7.99,scattered clouds
274,Catuday,PH,16.2923,119.8062,76.95,65,68,16.58,broken clouds
275,Hami,CN,42.8,93.45,25.45,60,0,3.04,clear sky
276,Katangli,RU,51.7102,143.2326,5.97,75,100,10.83,overcast clouds
277,Pokhara,NP,28.2333,83.9833,61.66,82,58,3.47,broken clouds
278,Linxia,CN,35.6003,103.2064,28.18,66,1,3.22,clear sky
279,Ambilobe,MG,-13.2,49.05,81.81,63,37,4.88,scattered clouds
280,Punta Alta,AR,-38.8759,-62.0736,62.51,79,99,17.52,overcast clouds
