City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Mar Del Plata,AR,2021-12-01 17:24:59,-38.0023,-57.5575,62.62,80,0,15.99
171,Zhigansk,RU,2021-12-01 17:24:59,66.7697,123.3711,-38.47,100,100,5.95
172,Hofn,IS,2021-12-01 17:24:59,64.2539,-15.2082,21.22,63,0,6.91
173,Chicama,PE,2021-12-01 17:25:00,-7.8447,-79.1469,66.74,59,55,10.33
174,Colan,PA,2021-12-01 17:25:00,7.5873,-80.2296,83.01,82,100,4.81
175,Isla Vista,US,2021-12-01 17:25:01,34.4133,-119.861,85.35,17,0,3.89
176,Hailar,CN,2021-12-01 17:25:01,49.2,119.7,22.01,78,100,20.83
177,Soe,ID,2021-12-01 17:16:13,-9.8607,124.284,67.8,90,93,3.24
178,Cordoba,AR,2021-12-01 17:24:09,-31.4135,-64.1811,82.24,64,20,10.36
179,Airai,TL,2021-12-01 17:25:02,-8.9266,125.4092,61.86,88,98,1.16
180,Katsuura,JP,2021-12-01 17:22:59,35.1333,140.3,51.12,62,25,5.23
181,Chateau-Gontier,FR,2021-12-01 17:25:02,47.8333,-0.7,46.62,83,54,10.85
182,Lodwar,KE,2021-12-01 17:25:03,3.1191,35.5973,86.9,39,98,19.39
183,Erzin,TR,2021-12-01 17:25:03,36.9559,36.2,56.12,53,34,2.59
184,Solnechnyy,RU,2021-12-01 17:25:04,50.7214,136.6319,10.99,88,100,21.74
185,Verkhnevilyuysk,RU,2021-12-01 17:16:09,63.4453,120.3167,-26.97,100,94,3.27
186,Santa Isabel Do Rio Negro,BR,2021-12-01 17:26:04,-0.4139,-65.0192,85.73,72,70,1.9
187,Cockburn Town,TC,2021-12-01 17:26:05,21.4612,-71.1419,79.75,74,4,13.33
188,Yumen,CN,2021-12-01 17:26:05,40.2833,97.2,22.37,39,0,3.47
189,Margate,GB,2021-12-01 17:26:05,51.3813,1.3862,44.96,86,93,3.0
190,Bandarbeyla,SO,2021-12-01 17:26:06,9.4942,50.8122,78.28,62,13,20.38
191,Longyearbyen,SJ,2021-12-01 17:26:06,78.2186,15.6401,4.84,72,20,4.61
192,Cabedelo,BR,2021-12-01 17:26:06,-6.9811,-34.8339,88.47,61,67,12.66
193,Parakai,NZ,2021-12-01 17:26:07,-36.65,174.4333,66.65,88,100,5.3
194,Kovur,IN,2021-12-01 17:26:07,14.4833,79.9833,76.32,73,91,8.12
195,Bindura,ZW,2021-12-01 17:26:08,-17.3019,31.3306,80.01,24,3,5.66
196,Flinders,AU,2021-12-01 17:26:08,-34.5833,150.8552,64.8,86,3,1.01
197,Kieta,PG,2021-12-01 17:26:09,-6.2167,155.6333,79.81,80,96,1.03
198,Soyo,AO,2021-12-01 17:26:09,-6.1349,12.3689,75.25,88,99,1.74
199,Alice Springs,AU,2021-12-01 17:26:09,-23.7,133.8833,67.55,56,0,0.0
200,Taoudenni,ML,2021-12-01 17:26:10,22.6783,-3.9836,78.24,10,96,12.08
201,Batagay,RU,2021-12-01 17:26:10,67.6333,134.6333,-36.27,100,98,0.96
202,Cordele,US,2021-12-01 17:26:11,31.9635,-83.7824,67.05,36,1,0.0
203,Portland,US,2021-12-01 17:25:52,45.5234,-122.6762,56.28,94,75,1.99
204,Avera,US,2021-12-01 17:26:11,33.194,-82.5271,66.7,42,88,6.64
205,Alugan,PH,2021-12-01 17:26:12,12.2188,125.4808,79.59,86,92,8.3
206,Ouadda,CF,2021-12-01 17:26:12,8.0777,22.4007,80.06,33,80,3.4
207,Vytegra,RU,2021-12-01 17:26:12,61.0064,36.4481,20.12,92,97,7.94
208,Vila Franca Do Campo,PT,2021-12-01 17:18:14,37.7167,-25.4333,68.2,77,73,9.71
209,Sharjah,AE,2021-12-01 17:26:13,25.3573,55.4033,76.98,59,0,4.61
210,Derzhavinsk,KZ,2021-12-01 17:26:13,51.1,66.3167,33.48,70,100,15.73
211,Vardo,NO,2021-12-01 17:26:14,70.3705,31.1107,35.58,64,75,37.98
212,Cap-Aux-Meules,CA,2021-12-01 17:23:01,47.3821,-61.8597,32.05,64,75,14.97
213,Goderich,CA,2021-12-01 17:26:15,43.7501,-81.7165,40.91,75,100,12.66
214,Maragogi,BR,2021-12-01 17:26:15,-9.0122,-35.2225,84.97,57,86,12.46
215,Taseyevo,RU,2021-12-01 17:26:15,57.2169,94.8978,22.62,91,100,5.23
216,Lima,PE,2021-12-01 17:22:01,-12.0432,-77.0282,69.13,73,90,6.91
217,San Ramon,US,2021-12-01 17:25:25,37.7799,-121.978,64.96,83,1,0.0
218,Itoman,JP,2021-12-01 17:26:16,26.1247,127.6694,64.42,61,75,12.66
219,Kodiak,US,2021-12-01 17:26:16,57.79,-152.4072,15.31,57,90,13.8
220,Puerto Padre,CU,2021-12-01 17:26:17,21.195,-76.6028,85.21,60,33,12.35
221,Kavaratti,IN,2021-12-01 17:26:17,10.5669,72.642,81.63,79,56,12.48
222,Hami,CN,2021-12-01 17:26:17,42.8,93.45,26.46,58,3,2.37
223,Pevek,RU,2021-12-01 17:26:18,69.7008,170.3133,-3.15,96,100,7.72
224,Tautira,PF,2021-12-01 17:26:18,-17.7333,-149.15,82.42,79,93,20.47
225,Naryan-Mar,RU,2021-12-01 17:26:19,67.6713,53.087,11.14,93,100,18.72
226,Isilkul,RU,2021-12-01 17:26:19,54.9109,71.2728,24.35,79,100,10.4
227,Aktash,RU,2021-12-01 17:26:19,50.3,87.7333,0.18,62,0,4.68
228,Olafsvik,IS,2021-12-01 17:26:20,64.8945,-23.7142,30.33,67,100,13.4
229,Ciudad Bolivar,VE,2021-12-01 17:26:21,8.1222,-63.5497,89.73,51,78,12.64
230,Bar Harbor,US,2021-12-01 17:26:21,44.3876,-68.2039,44.11,70,75,12.66
